# tsumugu-ed public character form list · char	pinyin	gloss	parts(glyph=role:identity | ...)	form-zh · built 2026-08-26 from entries/chars
謝	xiè	verb — to thank	言=meaning:speech, words | 射=sound:shè — gives the sound	告辭用的話（言）——本義是辭謝、退下。從告別的話長出道歉和道謝：謝謝、感謝。花也會告辭：花謝了。射（shè）給聲音，磨成 xiè。
謠	yáo	noun — a folk song	言=meaning:speech — the sung or spoken word | 䍃=sound:yáo — gives the sound	沒有伴奏、嘴上傳的話（言）——民間的歌，也是亂飛的傳言。䍃（yáo）給聲音，本來的圖樣早就看不清了。民謠、歌謠、謠言。
謹	jǐn	adjective — careful, cautious	言=meaning:speech — words weighed | 堇=sound:jǐn — gives the sound	出口前先掂量過的話（言）——小心、慎重，就是謹。堇（jǐn）給聲音，原音不變。謹慎、嚴謹、謹守。
證	zhèng	verb — to prove, to verify	言=meaning:speech, to report, to testify | 登=sound:dēng — gives the sound, worn from d to zh	言（言）配登（dēng）給聲音，由 d 磨成 zh。把話呈到上面去證實一件事——作證、證明，以及那證據本身：證明、證據、身分證。
識	shì	verb — to know, recognize	言=meaning:words | 戠=sound:zhí — gives the sound	言是話——叫得出名字，才算認識；戠表聲。
譜	pǔ	noun — a chart, register, score	言=meaning:speech — the written record | 普=sound:pǔ — gives the sound	把話（言）一條條照次序攤開（普）——表、家譜、樂譜。普（pǔ）給聲音，原音不變。樂譜、家譜、食譜。
警	jǐng	verb — to warn, to be on guard — noun — an alarm	言=meaning:speech — the word of warning | 敬=sound:gives the sound and the meaning	說出話（言）讓人戒備——警告。敬給聲音 jìng，磨成了 jǐng，它「戒慎、警惕」的意思也直接通進來：提防、戒備。從這裡引出警告、警報、警覺、警察。敬身兼兩職——既是聲音，也是那「戒慎」。
譬	pì	noun/verb — an analogy, illustration	辟=sound:pì — to open up, lay open; gives the sound | 言=meaning:speech — words that make a thing clear	辟（pì）壓在言（言）上——說文解作「曉也」，使人明白。難懂的道理，旁邊擺一個好懂的來開解，就是譬，一個比方。譬如、譬喻。辟把聲音原樣給了它。
譯	yì	verb — to translate, interpret	言=meaning:speech — words carried across | 睪=sound:yì — gives the sound	言（言）配睪（yì）的聲音——睪壓在右邊，已經看不出獨立的樣子。說文說「傳譯四夷之言者」——把外族的話傳遞過來的人。從這傳遞而來：翻譯、口譯。它走睪這一排：驛、繹、擇。
議	yì	verb — to discuss, deliberate	言=meaning:speech | 義=sound:yì — gives the sound exactly	話（言）在眾人之間來回，掂出個結果——商議；義（yì）給聲音，一點沒變。大家坐下來談是會議；先丟出來的是建議、提議；靠這個吃飯的，是議員。
護	hù	verb — to guard, protect	言=meaning:words — speaking up for someone | 蒦=sound:huò — gives the sound	話（言）擋在人前面——替他說話、看著他。蒦（huò）給聲音，韻母收成 hù；同一個蒦在獲、穫裡還唸 huò。從看著人來：保護、護士、護照。
譽	yù	noun/verb — fame, good name	言=meaning:speech — words of praise | 與=sound:yǔ — gives the sound	把話（言）送給人（與）——稱讚，再到好名聲。與（yǔ）擠在上頭，給聲音，只差個調。名譽、榮譽、讚譽。
讀	dú	verb — to read	言=meaning:speech | 賣=sound:yù (𧶠) — gives the sound	言（言）在旁，右邊看著像賣——本來是另一個字 𧶠（yù）給聲音，字形後來跟賣長成一樣。先是出聲念：讀書。
變	biàn	verb — to change	䜌=sound:luán — gives the sound, worn far | 攵=meaning:a hand with a stick — the act	拿棍的手（攵）在整理那團亂（䜌）——言的兩邊都是絲線。手一動，東西就成了另一個樣子：變化、改變、變成。䜌（luán）給聲音，一路磨到 biàn。
讓	ràng	verb — to yield, give way	言=meaning:speech — a mouth with words rising | 襄=sound:xiāng — gives the sound	言是說話，襄給聲：在言語上退一步，把位子讓給人——讓。襄（xiāng）給聲音，整個磨成 ràng。從謙讓引出讓路，也引出口語的讓——讓他去、讓我看。
讚	zàn	verb — to praise, to commend	言=meaning:speech, words of praise | 贊=sound:zàn — gives the sound exactly	言（言）配贊（zàn）——贊本身就是支持、附和——聲音分毫不差，意思也透過來：用話撐人，就是讚。讚美、讚賞、按讚。
谷	gǔ	noun — a valley, ravine	八=form:the streams parting as water issues from the hills | 口=form:the mouth of the valley where the water comes out	水從山裡分流而下，下面一個開口（口）讓水流出——這就是谷。峽谷、山谷、溪谷。
豁	huò/huō	adjective — open, wide, cleared (huò) — verb — to give up, t	谷=meaning:a valley, an opening | 害=sound:gives the sound	一道山谷（谷）敞開——開闊、清朗。古文字有兩個說法：谷旁配一個害給聲音 hài，磨成了 huò；或是谷被分（分）開，就是那道裂口。兩說都落在「開」上。從敞開的谷引出豁然、豁達、豁口。讀 huō 是裂開、拼了：豁出去。
豆	dòu	noun — bean	豆=form:a tall-footed serving dish — lid, bowl, stem, base	整個字是一幅圖：有蓋的碗架在高腳上，古代盛食物的器皿。豆子借走了這個形狀就沒還——黃豆、綠豆。當底座撐起頭、短、豐，也站在豈、登裡面。
豐	fēng	adjective — abundant, plentiful	丰=meaning:heaped stalks of grain | 豆=meaning:a tall stemmed dish	高腳盤（豆）上堆得冒了尖——穗子（丰）疊了又疊。合起來寫的就是滿、多：豐收、豐富、豐盛。
豔	yàn	adjective — gorgeous, glamorous	豐=meaning:abundance — a ritual stand heaped full | 盍=sound:hé — gives the sound, worn irregularly to yàn	豐（豐盛）堆到滿溢——盛得耀眼的美，就是豔。盍（hé）給聲音，磨遠成 yàn；同一個盍蓋出蓋、闔。
象	xiàng	noun — an elephant	象=form:rendered whole — the long trunk, tusks, and heavy body of the elephant	整頭獸一筆畫下來：上頭垂下的長鼻，象牙，碩大的身子和腿。這是大象的直接寫照。因為這獸難得一見，字義轉向「代表某物的東西」——它的形象、樣子：現象、象徵、印象。「相像」那層分出去成了像，加了個人字旁。
豪	háo	noun — a person of outstanding ability, a hero	高=sound:gāo — tall, high; gives the sound (the top is 高 abbreviated) | 豕=meaning:a pig, a boar — here the long-bristled boar	高（gāo，只取上半）壓在豕（豬）上——一身硬長鬃毛的野豬，豪豬。從那身出眾的鬃，引申到出眾的人：豪傑、英豪；再到豪放、豪爽，以及豪門、豪華。聲音由 gāo 軟化成 háo。
豫	yù	adjective — pleased, at ease	象=meaning:an elephant, the largest beast | 予=sound:gives the sound	一頭象（象），獸中最大者——本義。予給聲音 yǔ，斜成了 yù。從那頭從容的大獸，意思滑向安樂、舒坦（安豫），又借去當「事先、預先」：豫備、猶豫——遲遲不定。
豬	zhū	noun — a pig	豕=meaning:a pig drawn whole — snout, legs, hanging belly, tail | 者=sound:zhě — gives the sound	豕本來就是一整隻豬：嘴、腿、肚子、尾巴。者標聲音，zhě 磨成 zhū。古字守著豬圈，新寫法領了名字：豬肉、小豬。
貌	mào	noun — appearance, looks, manner	豸=form:a long-spined beast — the crouching-animal radical, added late to mark the word | 皃=meaning:a face on a standing person	右邊的皃是本字：上面一張臉（白=面），下面一個人（儿），就是一個人的相貌。左邊的豸是後來貼上去的記號。合起來寫容貌；從長相引出禮貌——待人時擺出的樣子。
貓	māo	noun — cat	豸=meaning:a long-spined beast — the crouching-animal radical | 苗=sound:miáo — gives the sound	豸是趴伏的獸，苗給聲：那隻蹲下來準備撲的獸——貓。苗（miáo）給聲音，磨成 māo。豸把它歸進野獸一類，苗把音讀出來：貓咪、貓科。
貝	bèi	noun — a shell, cowrie	貝=form:a cowrie shell — its ridged back and the slit opening below still drawn in	一枚海貝，上面殼背的紋，下面開口的縫——古時候串起來當錢用。凡是寫錢財的字，裡頭都有這枚貝：財、買、貴、貧。貝殼、寶貝。
負	fù	verb — to carry on the back	⺈=meaning:a person bending — worn to two strokes | 貝=meaning:a cowry shell — money	彎著腰的人（⺈）和貝（貝）。古文字有兩個說法：人靠著錢——有錢可仗；人把貝綁上背——揹著走。兩條路都活著：負責是扛責任，負債是扛債；轉身背對人家的好意，是辜負；勝負裡輸的那一邊，也是負。
財	cái	noun — wealth, money, property	貝=meaning:a cowrie shell — old money | 才=sound:cái — gives the sound	一枚貝（貝），上古的錢，配才（cái）的聲音：財。說文說「人所寶也」——人所珍藏的。從這枚貝而來：財富、財產、財政。它走才這一排：材、裁。
貢	gòng	verb — to offer tribute, contribute	工=sound:gōng — gives the sound | 貝=meaning:a cowrie shell — goods of worth offered up	工（gōng）給聲音，聲調往下成 gòng，壓在一枚貝（貝）上——值錢的東西。說文說「獻功也」——把勞作的成果獻上：進獻給君上的貢品、進貢，再放寬成貢獻。它走工這一排：紅、項。
貧	pín	adjective — poor, lacking	分=sound:fēn — gives the sound, and the sense of splitting | 貝=meaning:a cowrie — money, wealth	錢財（貝）一分（分）再分，分到每份都少——貧。分（fēn）既給「分開」的意思，也給聲音，只是讀法走遠了。貧窮、貧困、貧民。
貨	huò	noun — goods, merchandise	貝=meaning:a cowrie shell — old money, value | 化=sound:huà — gives the sound	貝（貝）是古代的錢，配上化——錢換來換去變成的東西，就是貨。化（huà）給聲音，調變成 huò，也帶「轉手」的意思。買賣的東西：貨物、貨幣、百貨。
販	fàn	verb — to trade, to peddle — noun — a peddler, a vendor	貝=meaning:a cowrie, money and trade | 反=sound:gives the sound	錢（貝）翻來覆去——賤買貴賣。反給聲音 fǎn，斜成了 fàn。意思落在小本買賣：攤販、小販、販賣、販運。
貪	tān	verb/adj — to crave, be greedy	今=sound:jīn — gives the sound | 貝=meaning:a cowrie — money, wealth	眼前的（今）錢財（貝）都想要——伸手過了頭，就是貪。今（jīn）在上頭給聲音，讀法已經走遠。貪心、貪婪、貪污。
貫	guàn	verb — to run through, to pierce, to link up — noun — a stri	毌=meaning:a string threaded straight through | 貝=meaning:cowries, the cash being strung	一條線直直穿過（毌）一串錢（貝）——串成一貫。上面的毌就是那條穿線，今天的字形裡已經看不太出來。從「一線貫通」引出貫穿、一貫、貫徹、貫注。
責	zé	noun/verb — duty	朿=sound:cì — gives the sound | 貝=meaning:a cowry shell — money owed	上門要錢（貝）——討債；朿（cì），荊棘的朿，給聲音，cì 磨成了 zé。責就是最早的「債」——後來加上人（亻）才寫成債。別人能向你討的，是你的責任；大聲討，就是責備。
貴	guì	adjective — expensive	𠀐=sound:kuì — gives the sound | 貝=meaning:a cowrie shell — money	貝殼錢（貝）上面是蕢（kuì）磨損的古形——一只筐，給聲音，k 變成了 g。要一筐貝才換得到的：貴。再從貴到尊貴：太貴、貴賓、貴姓。
貶	biǎn	verb — to lower, to demote, to disparage	貝=meaning:a cowrie, value and worth | 乏=sound:gives the sound	把價值（貝）往下壓——減損、降低。乏給聲音 fá，磨得遠遠成了 biǎn。從「削低身價」引出貶值、貶官、貶低、褒貶。
買	mǎi	verb — to buy	罒=meaning:a net — 网 flattened wide | 貝=meaning:a cowrie shell — the old money	網（罒）罩住貝（貝）——把貨往家裡撈：買。上面加個出就往外送：賣（那個出後來寫成了士）。
貸	dài	verb — to lend	代=sound:dài — gives the sound | 貝=meaning:a cowrie — money, value	把錢（貝）先交出去頂著用（代）——借出，也借入，就是貸。代（dài）給聲音，原音不變。貸款、借貸、信貸。
費	fèi	verb/noun — to spend, expend	貝=meaning:a cowrie shell — money, value | 弗=sound:fú — gives the sound	貝（貝）配上弗——錢花出去、散出去，就是費。弗（fú）給聲音，磨成 fèi。花掉的：費用、消費、浪費、學費。
貼	tiē	verb — to stick on, to paste	貝=meaning:a cowrie, money put against something | 占=sound:gives the sound	拿錢（貝）抵上去——典押、緊貼。占給聲音 zhān，磨得遠遠成了 tiē。意思落在「一物緊壓另一物」：貼上、貼近、貼心、補貼。
貿	mào	verb — to trade, to barter — adv — rashly, without thought (	貝=meaning:a cowrie, goods and money | 卯=sound:gives the sound	財貨（貝）換財貨——交易、買賣。卯給聲音 mǎo，斜成了 mào。日常意思是商貿：貿易、經貿、外貿。在貿然裡延伸成「不掂量就動手」——盲目交手。
賀	hè	verb — to congratulate, to offer good wishes	貝=meaning:a cowrie, valuables — a gift | 加=sound:jiā — gives the sound, dragged far to hè	貝（貝，財貨）配加（jiā）給聲音，拉得很遠成了 hè。送上一份禮，再加幾句好話——道賀：祝賀、賀喜、賀年。
賂	lù	verb/noun — to bribe	貝=meaning:a cowrie, goods given | 各=sound:gives the sound	把財物（貝）送出去——餽贈，再到「買人情的餽贈」。各給聲音 gè，磨得遠遠成了 lù。意思落在賄賂：賄賂、賂遺。幾乎總跟賄連用。
賃	lìn	verb — to rent, hire (for payment)	任=sound:rèn — to bear, take on; gives the sound | 貝=meaning:a cowrie — money, payment	任（rèn）壓在貝（貝，錢）上——說文解作「庸也」，僱、租。付出錢，換來一段時間用別人的東西：租賃、賃屋。聲音離開了本源，從 rèn 走到 lìn。
賄	huì	noun/verb — wealth, goods	貝=meaning:a cowrie, wealth | 有=sound:gives the sound	自己擁有（有）的財貨（貝）——財物、資產。有給聲音 yǒu，磨得遠遠成了 huì，它「擁有」的意思也染上來。從「拿財物去走後門」引出賄賂、行賄、受賄。有身兼兩職——既是聲音，也是那「擁有」。
資	zī	noun — wealth, capital	貝=meaning:a cowrie shell — money | 次=sound:cì — gives the sound	貝殼（貝）就是錢——存起來的財貨。次（cì）給聲音，c 磨成了 z。做事靠的本錢都是資：資金、資源、資料。
賊	zéi	noun — a thief, bandit	貝=meaning:a cowrie shell — money, goods to be taken | 戈=meaning:a dagger-axe — the weapon | 則=sound:zé — gives the sound, worn to zéi; its shell 貝 is the one you see on the left	兵器（戈）架在財貨（貝）上——賊先是用刀造成的傷害，再是動手的人：盜賊、賊匪。聲音來自則（zé），磨成了 zéi；左邊那個貝就是則裡的貝，戈是壓上去的兵器。從搶奪引出那股狡猾：賊頭賊腦。
賓	bīn	noun — a guest, a visitor of honor	貝=meaning:a cowrie — the gift the guest brings | 宀=sound:gives the sound	捧進來的財貨（貝）——客人帶來的禮，受尊敬接待。上面的宀給聲音 bīn：說文作「从貝宀聲」，更早的字形寫成完整的聲符𡧍（宀上兵下）。從貴客引出賓客、來賓、賓至如歸、喧賓奪主。
賜	cì	verb — to bestow, grant (from above to below)	貝=meaning:a cowrie shell — money, valuables | 易=sound:yì — gives the sound	貝（貝）是手裡的財貨，賜就是把財貨往下發——上位者賞給下面的人。易（yì）給聲音，磨成了 cì。給的方向只有一個：由上而下。
賞	shǎng	verb — to reward, to bestow	貝=meaning:a cowrie, the reward given | 尚=sound:gives the sound	把錢（貝）發給有功的人——獎賞。尚給聲音 shàng，斜成了 shǎng。從「賜賞」引出獎賞、賞賜。再從「給」轉到「品味地看」：欣賞、賞月。
賠	péi	verb — to compensate, pay back	貝=meaning:a cowrie — money paid out | 咅=sound:pǒu — gives the sound	把錢（貝）拿出去補人家的損失——賠償，自己也就賠了。咅（pǒu）給聲音，聲母 p 留著，其餘磨過。賠償、賠錢、賠本。
賢	xián	adj/noun — worthy, able, virtuous	臤=sound:xián — gives the sound | 貝=meaning:a cowrie — wealth, worth	牢牢握住（臤）的財富（貝）——指人才德兼備，就是賢。臤（xián）給聲音，讀法相近。賢能、賢良、聖賢。
賣	mài	verb — to sell	出=meaning:to go out — a foot stepping out of a hollow | 買=meaning:to buy — a net 罒 over a cowrie 貝, money caught up	上面是出，下面是買：東西送出去、與買相對——賣。上頭那塊現在寫平了，本來就是出。錢進來，物出去，這就是賣——賣東西；把這「送出去」用在人身上，就是出賣。
賤	jiàn	adjective — cheap, of low price	貝=meaning:a cowrie, price and worth | 戔=sound:gives the sound	把價值（貝）削到所剩無幾——賤價。戔給聲音 jiān，斜成了 jiàn，它「兩戈相砍、剩下零碎」的畫面也通進「小、少」的意思。從低價引出賤價、貧賤、賤視。戔不只是聲音，也帶「微少」的意思。
賦	fù	verb — to levy, to grant, to endow — noun — a tax	貝=meaning:a cowrie, levied wealth | 武=sound:gives the sound	在武力下收進財貨（貝）——徵收、斂取。武給聲音 wǔ，磨得遠遠成了 fù。從「收進」轉到「發出」：賦稅，再到賦予、天賦。當文體，賦是鋪陳的辭賦。
質	zhì	noun — substance, quality	斦=sound:gives the sound | 貝=meaning:a cowrie, the value pledged	拿東西抵東西作保——財貨（貝）壓在斦下，斦是兩把斤（斧）押作交換。斦給聲音 zhì，今天看上去只是兩個斤。從「抵押之物」引出本體、品質、實質、本質；從「對質」引出質問、人質。
賭	dǔ	verb — to gamble, bet	貝=meaning:a cowrie — money put at stake | 者=sound:zhě — gives the sound	把錢（貝）押上去賭輸贏——賭。者（zhě）給聲音，讀法走得遠。賭博、賭注、賭錢。
賴	lài	verb — to rely on	貝=meaning:a cowrie — gain, money | 剌=sound:là — gives the sound	靠上去吃的那份利（貝）——依賴；賴著不還的那份，就是抵賴、賴帳。剌（là）給聲音，差個調。依賴、信賴、抵賴、賴帳。
賺	zhuàn	verb — to earn, to make (money), to profit	貝=meaning:a cowrie, money | 兼=sound:jiān — gives the sound, worn from j to zh	貝（貝，錢）配兼（jiān，一手握兩把）給聲音，由 j 磨成 zh。錢進來多過本錢，就是賺：賺錢、賺取。
購	gòu	verb — to buy, purchase, procure	貝=meaning:a cowrie shell — money laid out | 冓=sound:gòu — gives the sound	一枚貝（貝），擺出去的錢，配冓（gòu）的聲音——冓壓在右邊，已經看不出獨立的樣子。說文說「以財有所求也」——拿錢去換要的東西：購買、購物、採購。它走冓這一排：構、講、溝。
賽	sài	noun/verb — contest	塞=sound:sāi — gives the sound | 貝=meaning:a cowrie shell — valuables	塞（sāi）去掉土當聲音，聲調轉了；下面是錢財（貝）——本義是酬神：廟會上把供品擺出來謝神。陣頭一家比一家熱鬧，比著比著，字就留給了比賽：賽跑、球賽。
贈	zèng	verb — to give as a gift, to present, to bestow	貝=meaning:a cowrie, valuables — a gift | 曾=sound:zēng — gives the sound, only the tone shifting	貝（貝，財貨）配曾（zēng）給聲音，只變了調。把值錢的東西白送出去——贈：贈送、贈品。
贊	zàn	verb — to support, to approve, to assist	貝=meaning:a cowrie, valuables brought forward | 兟=sound:shēn — two 先 stacked, worn unfamiliar; the donor, dragged to zàn	貝（貝，財貨）在下，兟（兩個先，搶著上前）在上給聲音，從 shēn 拉遠成 zàn。帶著禮上前撐人——贊：贊成、贊助、贊同。
贏	yíng	verb — to win, gain, profit	貝=meaning:a cowrie — the winnings, money gained	正中下方一枚貝（貝）——贏到手的錢，這一局賺著了，就是贏。贏家、贏球、贏錢。
贓	zāng	noun — stolen goods, loot	貝=meaning:a cowrie — money, goods of value | 臧=sound:zāng — to stash, hold; gives the sound (the root behind 藏, 臟)	貝（貝，值錢的東西）配上臧（zāng）取聲——搶來、藏起來的財物：贓物、貪贓、分贓。臧也是藏（收藏）、臟（內臟）的根；在這裡，它指不該拿而拿的那筆。
走	zǒu	verb — to walk	夭=meaning:a person running, arms flung | 止=meaning:a foot	甩開兩臂的人（夭），底下一隻腳（止）；抄寫把上頭的人磨成了土的樣子。合起來寫的是用腳趕路——古書裡是奔跑：走馬，就是縱馬奔。
赴	fù	verb — to go to, head for, attend	走=meaning:to run, go — legs in motion | 卜=sound:bǔ — gives the sound	邁開腿（走）往一個定點去——前往、赴約，就是赴。卜（bǔ）在旁給聲音，讀法走遠了。赴約、奔赴、赴湯蹈火。
起	qǐ	verb — to rise, get up	走=meaning:running — a figure over a foot | 己=sound:jǐ — gives the sound	走（走）加己（jǐ）的聲音——站起身、動起來（說文：能立也）：起來、起床。從起身：開頭是起頭，升上去是升起，帶出來是引起。
趁	chèn	verb/prep — to take advantage of, while (there is)	走=meaning:to run, go — chasing after | 㐱=sound:zhěn — gives the sound	邁腿（走）去追那一閃即過的時機——趁機、趁早，就是趁。㐱（zhěn）給聲音，聲母韻母都磨過。趁機、趁早、趁熱。
超	chāo	verb — to leap over, exceed	走=meaning:running legs | 召=sound:zhào — gives the sound	跑（走）給了腿；召（zhào）給聲音，zh 滑到 ch，調也變了。本義是一躍而過——從這一跳，凡是越過界線的都是超：超過、超越、超級。
越	yuè	verb — to cross over, pass beyond	走=meaning:to run, to stride | 戉=sound:yuè — gives the sound	邁開腳步（走）跨過界線——越過、超出。戉（yuè）是一把寬刃的斧頭，給聲音，原音不變。從跨過去而來：越過、超越，還有「越…越…」——越來越多。
趕	gǎn	verb — to chase, drive	走=meaning:to run — a swinging body over a foot, rapid motion | 干=sound:gān — gives the sound	走是奔跑的身子，干給聲：跑在後頭把人追上、把牲口趕著走——趕。干（gān）給聲音，只變了調，成 gǎn。從往前驅趕引出趕快、趕上、趕走。
趟	tàng	measure word — a trip, a run (a round of going) — verb — to 	走=meaning:to walk, to run a course | 尚=sound:gives the sound	走一回，去了又回——算一趟。字形有兩個說法：走（走）配尚給聲音 shàng，磨得遠遠成了 tàng；或是足（足）配堂給聲音 táng，斜成了 tàng。兩說都是「動腳」配一個尚／堂的聲符。日常用來數來回：一趟、跑一趟、趟數。讀 tāng 是蹚水：趟水、趟過河去。
趣	qù	noun — interest, fun	走=meaning:to walk, to run | 取=sound:qǔ — gives the sound	兩腿（走）趕著奔向一樣東西——快步前往。取（qǔ）給聲音，聲調偏成了 qù。腳會自己奔過去的，就是吸引你的：興趣、有趣、趣味。
趨	qū	verb — to hasten toward, tend toward, incline	走=meaning:to run, go — quick steps | 芻=sound:chú — gives the sound	快步（走）朝一個方向偏過去——趨向、趨勢，就是趨。芻（chú）給聲音，聲母滑到 q。趨勢、趨向、趨近。
足	zú	noun — foot	止=meaning:the foot, sole on the ground | 口=form:the rounded part above the sole	整隻腳畫下來：下面是腳掌（止），上面是一個圓圈（口）。這個圓圈有兩種說法：膝蓋或小腿關節，或是鼓鼓的小腿肚——都是腳掌以上那一截，合起來就是膝蓋以下這一段。很早被借去寫「夠」，滿到剛好：足夠、滿足。當部首，它撐在每一步底下：跑、踢、踏、跟、路。
趴	pā	verb — to lie prone, bend forward over	足=meaning:a foot — the body's stance | 巴=sound:bā — gives the sound	整個人靠著腳（足）伏下去，貼平（巴）——趴下、趴著。巴（bā）給聲音，b 換成 p。趴下、趴著。
跌	diē	verb — to fall, stumble	足=meaning:a foot — the step that goes wrong | 失=sound:shī — gives the sound	腳（足）一沒抓穩（失）——摔倒，就是跌；價錢站不住，也叫跌。失（shī）給聲音，讀法走遠了。跌倒、下跌、跌跤。
跑	pǎo	verb — to run	足=meaning:the foot | 包=sound:bāo — gives the sound, worn from b to p	一隻腳（足）加上 包（bāo）給聲音，b 磨成了 p。腳快快地打地——跑：跑步、賽跑。要躲開什麼，也是跑：逃跑。
距	jù	noun — distance, the gap between — verb — to be apart from	足=meaning:a foot, the stride that spans | 巨=sound:gives the sound	腳（足）配一個巨，巨是手握的大矩尺、一大跨。巨給聲音 jù。本義是雞距——腳上那根刺；從「一點離另一點」引出距離、相距、間距。
跟	gēn	verb — to follow	足=meaning:a foot | 艮=sound:gèn — gives the sound	腳（足）的後端——說文：足踵，腳跟。艮給聲音，調子放平成 gēn。從腳跟到跟在腳跟後面，再到「跟你一起」：跟著、跟我來、我跟你。
跡	jì	noun — a trace, a track, a mark left behind	足=meaning:a foot, the step that leaves a mark | 亦=sound:gives the sound	一隻腳（足）和它踩進地裡的印——落腳的那個地方。亦給聲音 yì，磨成了 jì。從腳印引出足跡、痕跡、軌跡、事跡。古字寫作迹，從辵（路）。
跨	kuà	verb — to step across, straddle, span	足=meaning:foot, leg | 夸=sound:kuā — the phonetic, fallen to fourth tone kuà	足（腳）加上 夸（kuā）的聲音——一腿邁過去的大步：跨過、跨越。夸讀 kuā，到跨變成 kuà。夸也給了誇、挎。
跪	guì	verb — to kneel	足=meaning:a foot — the legs bent under | 危=sound:wēi — gives the sound	兩腿（足）彎下去，身子低低地懸著（危）——跪。危（wēi）給聲音，讀法走遠了。跪下、下跪、跪拜。
路	lù	noun — road, way	足=meaning:a foot | 各=sound:gè — gives the sound	腳（足）配上各的聲音——各自己也是一隻腳（夂）走到門口（口）。兩隻腳走在一個字裡：路。這一排字早就分了家，g 歸 g、l 歸 l：格、客一邊，落、路一邊。想法走的是思路，資料走的是網路。
跳	tiào	verb — to jump, to leap	足=meaning:a foot, a leg | 兆=sound:zhào — gives the sound	腳（足）一蹬離地——跳。兆（zhào）給聲音，zh 跨到 t；這一家分兩條路走——桃、逃、挑那邊，兆自己這邊。心也會跳：心跳。
踏	tà	verb — to step on, to tread	足=meaning:the foot | 沓=sound:tà — gives the sound	一隻腳（足）加上 沓（tà）給聲音。腳踩到地上——踏：踏步、踐踏。踩得穩，人就落在實處：踏實。
踐	jiàn	verb — to tread on	足=meaning:a foot — what does the treading | 戔=sound:jiān — gives the sound	一隻腳（足）實實踩下去（戔）——踩踏，再到把事做到、實踐。戔（jiān）給聲音，差個調。實踐、踐踏、踐行。
踢	tī	verb — to kick	足=meaning:the foot | 易=sound:yì — gives the sound, worn from yì to tī	一隻腳（足）加上 易（yì）給聲音，磨成了 tī。腳猛地踢出去——踢：踢球、踢腿。用腳玩的球賽：踢足球。
踩	cǎi	verb — to step on, tread	足=meaning:a foot | 采=sound:cǎi — gives the sound	腳（足）踏下去——踩。右邊 采（cǎi）給聲音，跟 採、菜、彩 同一個。踩水、踩準，凡是腳踏的都是它。
踴	yǒng	verb — to leap, jump up	足=meaning:a foot | 勇=sound:yǒng — gives the sound	腳（足）配上 勇（yǒng），就是「勇敢」那個勇。腳一蹬地，往上跳——踴。踴躍，又是跳又是熱切。
蹈	dǎo	verb — to tread, to step on	足=meaning:a foot, the tread | 舀=sound:gives the sound	一隻腳（足）踏下去、踩穩。舀給聲音 yǎo，磨成了 dǎo。從「實踏」引出舞蹈、蹈矩、赴湯蹈火——踏著開水、踩著烈火也照走。
蹟	jī	noun — a trace, footprint, mark left behind	足=meaning:a foot — the step that leaves the mark | 責=sound:zé — gives the sound	一隻腳（足）和它踩下的地方——本義是腳落的那一點，腳印。責（zé）給聲音，從 zé 一路磨到 jī；它的核心其實是朿（cì），更深的聲源。從腳印引出留下的痕跡：足蹟、遺蹟、古蹟，再到奇蹟。也常寫作跡、迹。
蹤	zōng	noun — track, trace, footprint	足=meaning:a foot | 從=sound:cóng — gives the sound	腳（足）配 從（cóng），就是一人跟在一人後面那個從。腳留下的、讓人跟的，就是蹤。c 磨成了 z。蹤跡、追蹤。
蹲	dūn	verb — to squat, crouch	足=meaning:a foot | 尊=sound:zūn — gives the sound	腳（足）配 尊（zūn），就是雙手奉酒那個尊。腿一彎，身子坐到腳跟上——蹲下。z 滑成了 d。蹲下、蹲踞。
躁	zào	adjective — restless, impatient, hot-tempered	足=meaning:a foot | 喿=sound:zào — gives the sound	腳（足）停不下來，配 喿（zào），就是樹上三張嘴吵鬧那個喿。腳老是動，人就躁。喿給字音，跟 噪、燥、操 同源。急躁、煩躁。
躍	yuè	verb — to leap, to jump, to spring up	足=meaning:a foot, the spring | 翟=sound:gives the sound	腳（足）一蹬騰起，像長尾的雉雞（翟）猛地飛竄。翟給聲音 dí，磨得遠遠成了 yuè。從跳起引出跳躍、躍進、躍起、活躍。
身	shēn	noun — body	身=form:a person in profile, belly heavy	側面畫的一個人，肚子向前隆起——懷著孩子的身體。古書說懷孕就是有身。從軀幹出去：整個身體；住在身體裡的自己（本身、親身）；自己在人群裡的位置（身分）。
躬	gōng	verb/noun — to bow	身=meaning:the body | 弓=sound:gōng — the phonetic, and a bow that bends	身（身體）配上 弓（gōng）的聲音——而弓是會彎的東西，身體行禮時也彎下去：鞠躬、躬身。讀音不變，都讀 gōng。弓也給了宮。
躲	duǒ	verb — to hide, dodge, get out of the way	身=meaning:a body | 朵=sound:duǒ — gives the sound	身體（身）配 朵（duǒ），就是花朵低垂那個朵。身子一縮，藏開了——躲。朵給字音。躲避、躲藏、躲開。
躺	tǎng	verb — to lie down, to recline	身=meaning:the body laid out | 尚=sound:gives the sound	把身子（身）放平——躺。尚給聲音 shàng，磨得遠遠成了 tǎng。日常意思是臥下：躺下、躺著、平躺。
