# tsumugu-ed public word list · headword	pinyin	gloss (full en definition)	level · built 2026-08-26 from entries/words + indexes/by-level.json
裏面	lǐmiàn	noun — the inside; inside, within	TOCFL 1
裏頭	lǐtou	noun — inside, the interior (spoken)	TOCFL 4
補償	bǔcháng	verb — to compensate, to make up for, to offset (a loss)	TOCFL 4
補充	bǔchōng	verb — to supplement; to add to; to replenish	TOCFL 5
補助	bǔzhù	noun — a subsidy, financial aid; verb — to subsidize, to provide aid	TOCFL 4
補救	bǔjiù	verb — to remedy, to make good a mistake or damage after the fact	TOCFL 5
補給	bǔgěi	verb — to supply, to replenish; noun — supplies, provisioning	TOCFL 5
補習	bǔxí	verb — to take extra lessons, to attend cram school (outside regular class)	TOCFL 4
補習班	bǔxíbān	noun — a cram school, a tutoring class (for extra study after school)	TOCFL 4
補課	bǔkè	verb — to make up a missed lesson, to hold a make-up class	TOCFL 4
裝備	zhuāngbèi	noun/verb — equipment; gear; to equip; to outfit	TOCFL 4
裝潢	zhuānghuáng	verb/noun — to decorate (an interior); décor	TOCFL 5
裝甲	zhuāngjiǎ	noun — armor plating; adj — armored (vehicle, unit)	TOCFL 6
裝置	zhuāngzhì	noun — device; apparatus; installation; equipment	TOCFL 5
裝運	zhuāngyùn	verb — to load and ship (goods); to pack and transport	TOCFL 5
裝配	zhuāngpèi	verb — to assemble (parts into a whole); to fit together	TOCFL 5
裝飾	zhuāngshì	verb — to decorate, to adorn; noun — decoration, ornament	TOCFL 4
裡邊	lǐbiān	noun — the inside, the interior	TOCFL 3
裡面	lǐmiàn	noun — the inside; the interior	TOCFL 1
裡頭	lǐtou	noun — inside, the interior (spoken)	TOCFL 4
製作	zhìzuò	verb — to produce, to make (films, programs, goods)	TOCFL 5
製品	zhìpǐn	noun — a manufactured product; a made article	TOCFL 5
製成	zhìchéng	verb — to make into; to manufacture into (a finished product)	TOCFL 4
製造	zhìzào	verb — to manufacture; to produce; to make (industrially or at scale)	TOCFL 4
複習	fùxí	verb — to review, go over (lessons) again	TOCFL 3
複製	fùzhì	verb — to copy, to duplicate, to reproduce (a file, work, or object)	TOCFL 4
複雜	fùzá	adjective — complex, complicated	TOCFL 4
襄陽	xiāngyáng	proper noun — Xiangyang, an ancient walled city on the Han River in Hubei, famed in the Three Kingdoms wars	TOCFL 7
襯衫	chènshān	noun — shirt (collared, button-up)	TOCFL 3
襲擊	xíjī	verb — to attack by surprise; to raid; noun — a surprise attack	TOCFL 5
西北	xīběi	noun — northwest	TOCFL 2
西南	xīnán	noun — southwest	TOCFL 2
西安	xīān	proper noun — Xi'an, capital of Shaanxi province; an ancient imperial capital in northwest China	named-entity
西方	xīfāng	noun — the West; the western direction; Western cultures	TOCFL 3
西服	xīfú	noun — a Western-style suit (men's)	TOCFL 5
西洋	xīyáng	noun — the West; the Western world (esp. Europe and America)	TOCFL 5
西班牙	Xībānyá	proper noun — Spain, the country in southwestern Europe	named-entity
西瓜	xīguā	noun — watermelon	TOCFL 1
西藏	xīzàng	proper noun — Tibet, a high mountain plateau region in China's southwest	named-entity
西裝	xīzhuāng	noun — a (Western) suit, business suit	TOCFL 4
西邊	xībiān	noun — the west, the west side	TOCFL 2
西部	xībù	noun — the western part, the west	TOCFL 2
西醫	xīyī	noun — Western medicine; a doctor of Western medicine	TOCFL 5
西餐	xīcān	noun — Western food, a Western-style meal	TOCFL 3
要不	yàobù	conjunction — otherwise, or else; or how about (introducing a suggestion)	TOCFL 4
要不是	yàobúshì	conjunction — if it were not for, had it not been that	TOCFL 3
要不然	yàobùrán	conjunction — otherwise, or else	TOCFL 3
要命	yàomìng	adjective/adverb — terrible, to an extreme degree, "to death"; verb phrase — to be fatal	TOCFL 4
要好	yàohǎo	adjective — to be close, on good terms (of friends); to strive to do well	TOCFL 4
要是	yàoshì	conjunction — if; in case	TOCFL 2
要求	yāoqiú	verb — to demand; to require; noun — demand; requirement; request	TOCFL 3
要犯	yàofàn	noun — a major criminal; a key wanted offender	TOCFL 5
要素	yàosù	noun — a key element, an essential factor	TOCFL 5
要緊	yàojǐn	adjective — important, serious, of consequence	TOCFL 3
要點	yàodiǎn	noun — the main points; the key points (of a matter)	TOCFL 5
覆蓋	fùgài	verb — to cover over; to spread across and conceal	TOCFL 6
見到	jiàndào	verb — to see; to meet; to have managed to see (resultative)	TOCFL 2
見於	jiànyú	verb — to be found in, to appear in (a text, record, or source)	TOCFL 7
見解	jiànjiě	noun — a view; an opinion; one's understanding of something	TOCFL 5
見證	jiànzhèng	verb — to witness (an event); noun — testimony; a witness	TOCFL 5
見識	jiànshí	noun — experience and knowledge; insight; verb — to gain exposure to	TOCFL 5
見長	jiàncháng	verb — to excel at, to be especially good at (used after the strong point)	TOCFL 7
見面	jiànmiàn	verb — to meet, to see someone face to face	TOCFL 2
規則	guīzé	noun — a rule, a regulation	TOCFL 4
規劃	guīhuà	verb — to plan, to lay out; noun — planning, a plan	TOCFL 6
規定	guīdìng	verb — to stipulate; to regulate; noun — rule; regulation; provision	TOCFL 3
規律	guīlǜ	noun — pattern; regularity; the rule a thing follows	TOCFL 5
規格	guīgé	noun — specification; standard (of size, quality, format)	TOCFL 5
規模	guīmó	noun — scale; size; scope; magnitude	TOCFL 5
規畫	guīhuà	verb — to plan, to lay out; noun — a plan, planning (long-term, large-scale)	TOCFL 4
規矩	guīju	noun — rules, established custom; adjective — well-behaved, proper	TOCFL 3
規範	guīfàn	noun — norm; standard — verb — to standardize, regulate	TOCFL 6
視為	shìwéi	verb — to regard as, to treat as	TOCFL 5
視野	shìyě	noun — field of vision, range of sight; outlook, breadth of perspective	TOCFL 4
親人	qīnrén	noun — a close relative, one's own family members	TOCFL 4
親兵	qīnbīng	noun — a commander's personal guards; bodyguard troops	TOCFL 6
親切	qīnqiè	adjective — warm, kind, cordial (in manner)	TOCFL 3
親口	qīnkǒu	adverb — with one's own mouth, personally (said in person)	TOCFL 4
親愛	qīn'ài	adjective — dear, beloved (in address: "dear...")	TOCFL 4
親戚	qīnqī	noun — a relative, kin; family connections by blood or marriage	TOCFL 4
親手	qīnshǒu	adverb — with one's own hands, personally	TOCFL 3
親熱	qīnrè	adjective — affectionate; warm and close (toward someone)	TOCFL 5
親生	qīnshēng	adjective — one's own (child or parent by birth); biological	TOCFL 5
親眼	qīnyǎn	adverb — with one's own eyes, in person (of seeing)	TOCFL 3
親自	qīnzì	adverb — personally; in person; oneself	TOCFL 5
親身	qīnshēn	adverb — personally; in person; through one's own body	TOCFL 5
覺得	juéde	verb — to feel; to think; to sense; to find (that something is the case)	TOCFL 2
覺悟	juéwù	verb — to wake up to, to come to realize; noun — awareness, awakening (mental/moral)	TOCFL 4
觀光	guānguāng	verb — to sightsee, to tour; noun — sightseeing, tourism	TOCFL 4
觀察	guānchá	verb — to observe, watch closely; noun — observation	TOCFL 5
觀念	guānniàn	noun — concept, notion; an outlook one holds	TOCFL 4
觀感	guāngǎn	noun — impressions; one's reactions after seeing something	TOCFL 5
觀摩	guānmó	verb — to observe and learn from (others' work or practice)	TOCFL 5
觀望	guānwàng	verb — to wait and see; to hold back and watch before acting	TOCFL 5
觀測	guāncè	verb — to observe and measure (esp. weather, stars, data)	TOCFL 5
觀看	guānkàn	verb — to watch, to view (an event, a show)	TOCFL 5
觀眾	guānzhòng	noun — audience; spectators; viewers	TOCFL 4
觀點	guāndiǎn	noun — point of view; standpoint; perspective	TOCFL 5
角度	jiǎodù	noun — angle; point of view	TOCFL 5
角色	juésè	noun — a role; a character (in a story or film)	TOCFL 4
角落	jiǎoluò	noun — a corner, a nook (where two edges meet); a remote spot	TOCFL 4
解剖	jiěpōu	verb — to dissect; to analyze by cutting open	TOCFL 5
解放	jiěfàng	verb — to liberate; to set free	TOCFL 6
解放軍	jiěfàngjūn	proper noun — the People's Liberation Army (PLA), the armed forces of the People's Republic of China	TOCFL 7
解決	jiějué	verb — to solve; to resolve; to settle (a problem or conflict)	TOCFL 3
解渴	jiěkě	verb — to quench thirst	TOCFL 5
解答	jiědá	verb — to answer, to explain, to solve (a question); noun — the answer, solution	TOCFL 4
解約	jiěyuē	verb — to terminate a contract; to cancel an agreement	TOCFL 5
解脫	jiětuō	verb — to free oneself; to be released (from suffering, burden)	TOCFL 5
解說	jiěshuō	verb — to explain; to narrate; noun — commentary	TOCFL 5
解釋	jiěshì	verb/noun — to explain; to interpret; explanation	TOCFL 3
解除	jiěchú	verb — to lift, to remove, to relieve (a restriction, contract, or danger)	TOCFL 4
解體	jiětǐ	verb — to fall apart, to disintegrate; (of a structure or organization) to break up	TOCFL 5
言語	yányǔ	noun — speech; words; spoken language	TOCFL 6
言論	yánlùn	noun — speech, expression of opinion (as in freedom of speech)	TOCFL 5
訂位	dìngwèi	verb — to book a table or seat; to make a reservation	TOCFL 2
訂婚	dìnghūn	verb — to get engaged, become betrothed; to formally agree to marry	TOCFL 4
訂購	dìnggòu	verb — to order, place an order for (goods)	TOCFL 4
計劃	jìhuà	noun — plan; program; project; verb — to plan; to schedule	TOCFL 2
計畫	jìhuà	noun — a plan; verb — to plan	TOCFL 1
計程車	jìchéngchē	noun — taxi, cab	TOCFL 1
計算	jìsuàn	verb — to calculate, to count, to reckon	TOCFL 4
計算機	jìsuànjī	noun — calculator; computer (literally: calculating machine)	TOCFL 3
計較	jìjiào	verb — to haggle over, fuss about; to take issue with, hold against	TOCFL 4
訊息	xùnxī	noun — message; news; information	TOCFL 4
訊號	xùnhào	noun — a signal (electronic, radio, or as a sign)	TOCFL 5
討厭	tǎoyàn	verb — to dislike, loathe; adjective — annoying, disgusting	TOCFL 3
討論	tǎolùn	verb/noun — to discuss; discussion	TOCFL 3
訓練	xùnliàn	verb/noun — to train; to drill; training	TOCFL 4
記住	jìzhù	verb — to remember, memorize, keep in mind (and hold it)	TOCFL 4
記得	jìde	verb — to remember, to keep in mind	TOCFL 2
記性	jìxìng	noun — memory, the faculty of remembering (good/bad memory)	TOCFL 4
記憶	jìyì	noun — memory, recollection; verb — to remember, retain in mind	TOCFL 3
記者	jìzhě	noun — journalist; reporter	TOCFL 3
記載	jìzǎi	verb — to record, to set down in writing; noun — a record	TOCFL 5
記錄	jìlù	verb — to record, to write down; noun — a record, an entry	TOCFL 4
訪問	fǎngwèn	verb — to visit; to interview	TOCFL 4
設備	shèbèi	noun — equipment, facilities, installations	TOCFL 3
設定	shèdìng	verb — to set, to configure; noun — a setting	TOCFL 5
設想	shèxiǎng	verb — to imagine, to envisage; to consider (someone's situation)	TOCFL 5
設施	shèshī	noun — facilities, installations	TOCFL 6
設有	shèyǒu	verb — to be equipped with; to have set up	TOCFL 4
設法	shèfǎ	verb — to think of a way, to try to manage, to contrive (to do something)	TOCFL 5
設立	shèlì	verb — to establish; to found; to set up	TOCFL 4
設置	shèzhì	verb — to set up, install, establish; noun — settings, configuration	TOCFL 4
設計	shèjì	verb/noun — to design; design; a plan	TOCFL 3
許久	xǔjiǔ	adverb — for a long while, for ages	TOCFL 5
許可	xǔkě	verb — to permit, to license; noun — permission	TOCFL 5
許多	xǔduō	determiner — many; a lot of; much	TOCFL 1
許願	xǔyuàn	verb — to make a wish; to make a vow (to a deity)	TOCFL 4
訴苦	sùkǔ	verb — to pour out one's troubles, to complain of hardship	TOCFL 5
診所	zhěnsuǒ	noun — a clinic, a doctor's office	TOCFL 5
診斷	zhěnduàn	verb — to diagnose; noun — a diagnosis	TOCFL 5
註冊	zhùcè	verb — to register, enroll, sign up	TOCFL 4
註定	zhùdìng	verb — to be destined, to be fated (to happen)	TOCFL 5
詔書	zhàoshū	noun — an imperial edict; a decree issued by an emperor	TOCFL 6
評估	pínggū	verb — to assess, to evaluate; noun — an assessment	TOCFL 5
評價	píngjià	verb — to appraise, to assess; noun — an evaluation, a rating	TOCFL 5
評為	píngwéi	verb — to rate as; to name as; to be judged to be	TOCFL 5
評論	pínglùn	verb — to comment on, review; noun — commentary, review	TOCFL 5
詞典	cídiǎn	noun — dictionary (esp. of words/vocabulary)	TOCFL 4
詞彙	cíhuì	noun — vocabulary, lexicon; the stock of words (of a language or person)	TOCFL 4
詞條	cítiáo	noun — dictionary entry; lexical item	TOCFL 6
詢問	xúnwèn	verb — to ask about, to inquire, to make inquiries	TOCFL 5
試卷	shìjuàn	noun — an examination paper, a test paper	TOCFL 5
試圖	shìtú	verb — to attempt, to try (to do something)	TOCFL 5
試驗	shìyàn	verb — to test, to experiment; noun — trial, experiment	TOCFL 5
詩人	shīrén	noun — a poet	TOCFL 5
話劇	huàjù	noun — a stage play (spoken drama), as opposed to opera	TOCFL 5
話題	huàtí	noun — topic; subject of conversation	TOCFL 4
該死	gāisǐ	exclamation — damn it!; adjective — wretched, accursed (deserving to die)	TOCFL 5
詳細	xiángxì	adjective — detailed, in full detail	TOCFL 4
誇張	kuāzhāng	verb — to exaggerate, overstate; adjective — exaggerated, over the top	TOCFL 3
誇獎	kuājiǎng	verb — to praise, commend, speak highly of	TOCFL 4
誇耀	kuāyào	verb — to show off, to flaunt, to brag about	TOCFL 5
認定	rèndìng	verb — to firmly believe, to be convinced of; to recognize officially	TOCFL 5
認得	rènde	verb — to recognize, know (a person or thing) by sight	TOCFL 3
認為	rènwéi	verb — to think; to believe; to hold the view that	TOCFL 2
認真	rènzhēn	adjective — serious, conscientious, earnest	TOCFL 3
認識	rènshí	verb — to know; to be acquainted with; to recognize; noun — understanding; knowledge	TOCFL 2
認錯	rèncuò	verb — to admit a mistake, to apologize; to mistake one thing for another	TOCFL 5
誕生	dànshēng	verb — to be born; (figuratively) to come into being, to emerge	TOCFL 5
誘惑	yòuhuò	verb — to tempt, to entice, to lure; noun — temptation	TOCFL 5
語文	yǔwén	noun — language and literature (esp. as a school subject); a language	TOCFL 5
語氣	yǔqì	noun — tone, manner of speaking; mood (grammatical)	TOCFL 4
語法	yǔfǎ	noun — grammar (the rules of a language)	TOCFL 5
語言	yǔyán	noun — language; speech; tongue	TOCFL 3
語調	yǔdiào	noun — intonation, the rise and fall of speech	TOCFL 4
語音	yǔyīn	noun — speech sound, pronunciation; phonetics; voice (audio)	TOCFL 4
誠實	chéngshí	adjective — honest, truthful	TOCFL 3
誠心	chéngxīn	noun — sincerity, good faith; adjective/adverb — sincerely, wholeheartedly	TOCFL 5
誠心誠意	chéngxīnchéngyì	idiom — with all sincerity, in complete good faith	TOCFL 5
誠意	chéngyì	noun — sincerity, good faith, genuine intent	TOCFL 4
誠懇	chéngkěn	adjective — sincere, earnest, heartfelt	TOCFL 4
誠摯	chéngzhì	adjective — sincere and earnest, heartfelt (of feeling or words)	TOCFL 5
誤差	wùchā	noun — an error, a margin of error (the gap between measured and true value)	TOCFL 5
誤會	wùhuì	verb — to misunderstand; noun — a misunderstanding	TOCFL 3
誤解	wùjiě	verb — to misunderstand, to misread; noun — a misunderstanding	TOCFL 5
誤點	wùdiǎn	verb — to be late, run behind schedule (train, plane, bus)	TOCFL 4
說不定	shuōbùdìng	adverb — maybe, perhaps; it's hard to say	TOCFL 4
說出	shuōchū	verb — to say out loud; to utter, to voice	TOCFL 4
說完	shuōwán	verb — to finish speaking, finish saying	TOCFL 3
說明	shuōmíng	verb — to explain; to illustrate; noun — explanation; instructions	TOCFL 3
說服	shuōfú	verb — to persuade, convince, talk someone round	TOCFL 4
說法	shuōfǎ	noun — a way of putting it; a statement; a version	TOCFL 4
說笑	shuōxiào	verb — to joke around, to chat and laugh	TOCFL 5
說話	shuōhuà	verb — to speak; to talk; to say something	TOCFL 2
說謊	shuōhuǎng	verb — to lie, to tell a lie	TOCFL 5
說起來	shuōqǐlái	phrase — speaking of it, when you talk about it (discourse opener)	TOCFL 3
課堂	kètáng	noun — classroom, the class session	TOCFL 3
課外	kèwài	adjective — extracurricular, outside of class	TOCFL 4
課文	kèwén	noun — text of a lesson, the reading passage in a lesson	TOCFL 3
課本	kèběn	noun — textbook	TOCFL 1
課業	kèyè	noun — schoolwork, coursework	TOCFL 5
課程	kèchéng	noun — a course, a curriculum, a program of study	TOCFL 4
課題	kètí	noun — a task to work through; an open problem or research topic	TOCFL 6
調和	tiáohé	verb — to blend, to harmonize, to mix into balance	TOCFL 5
調度	diàodù	verb — to dispatch, to allocate and schedule; noun — dispatching	TOCFL 5
調整	tiáozhěng	verb — to adjust; to regulate; to fine-tune	TOCFL 4
調查	diàochá	verb/noun — to investigate; to survey; investigation, survey	TOCFL 4
調皮	tiáopí	adjective — naughty, mischievous	TOCFL 5
調節	tiáojié	verb — to adjust; to regulate	TOCFL 6
談判	tánpàn	verb — to negotiate; noun — negotiation	TOCFL 6
談到	tándào	verb — to talk about, mention, bring up (in speech)	TOCFL 4
談話	tánhuà	verb — to talk, converse; noun — a talk, conversation	TOCFL 5
談論	tánlùn	verb — to discuss, to talk over	TOCFL 5
請假	qǐngjià	verb — to ask for leave, request time off	TOCFL 3
請問	qǐngwèn	phrase — may I ask…; excuse me (a polite lead-in to a question)	TOCFL 1
請客	qǐngkè	verb — to treat someone (to a meal); to play host and foot the bill	TOCFL 2
請教	qǐngjiào	verb — to ask for advice, consult (someone more knowledgeable)	TOCFL 3
請求	qǐngqiú	verb — to request, to ask for; noun — a request	TOCFL 5
請願	qǐngyuàn	verb — to petition; to formally appeal to authority for a wish	TOCFL 7
諒解	liàngjiě	verb — to understand and make allowances for, forgive, be understanding about	TOCFL 4
論壇	lùntán	noun — forum; a public platform for discussion, online or in person	TOCFL 6
論文	lùnwén	noun — a thesis; an academic paper	TOCFL 4
論述	lùnshù	verb — to expound; to set out an argument; noun — an exposition; a discourse	TOCFL 6
論點	lùndiǎn	noun — argument, point of an argument	TOCFL 5
諮詢	zīxún	verb — to consult, to seek advice; noun — consultation, inquiry	TOCFL 6
諷刺	fěngcì	verb — to satirize, mock; noun — satire, irony	TOCFL 4
諸多	zhūduō	adjective — many, numerous, all sorts of	TOCFL 5
諾言	nuòyán	noun — a promise, a pledge	TOCFL 5
謀生	móushēng	verb — to earn a living, to make one's livelihood	TOCFL 5
謎語	míyǔ	noun — a riddle	TOCFL 5
謙虛	qiānxū	adjective — modest, humble; verb — to be modest about oneself	TOCFL 3
謙遜	qiānxùn	adjective — modest, humble, unassuming	TOCFL 5
講價	jiǎngjià	verb — to haggle, bargain over a price	TOCFL 3
講座	jiǎngzuò	noun — a lecture, a talk (a public teaching session)	TOCFL 5
講理	jiǎnglǐ	verb — to be reasonable, to argue by reason	TOCFL 5
講究	jiǎngjiù	verb — to be particular about, pay attention to; adjective — refined, fastidious	TOCFL 3
講義	jiǎngyì	noun — lecture notes, course handout	TOCFL 5
講習	jiǎngxí	verb — to study together in a class; noun — a training course	TOCFL 5
講話	jiǎnghuà	verb — to speak, to talk; noun — a speech, a talk	TOCFL 4
謝謝	xièxie	phrase — thank you, thanks	TOCFL 1
謠言	yáoyán	noun — a rumour	TOCFL 5
謹慎	jǐnshèn	adjective — careful, cautious, prudent	TOCFL 5
證人	zhèngrén	noun — a witness	TOCFL 5
證件	zhèngjiàn	noun — identification document, credentials, papers	TOCFL 4
證券	zhèngquàn	noun — securities; a negotiable certificate (stocks, bonds)	TOCFL 6
證券行	zhèngquànxíng	noun — a securities firm, a brokerage	TOCFL 5
證實	zhèngshí	verb — to confirm, verify, bear out (as true)	TOCFL 4
證據	zhèngjù	noun — evidence, proof	TOCFL 4
證明	zhèngmíng	verb — to prove; to certify; to demonstrate; noun — proof; certificate	TOCFL 4
證書	zhèngshū	noun — certificate, credential document	TOCFL 3
識破	shìpò	verb — to see through (a trick)	TOCFL 7
警告	jǐnggào	verb — to warn, caution; noun — warning, caution (formal reprimand)	TOCFL 4
警報	jǐngbào	noun — an alarm, a warning signal	TOCFL 5
警察	jǐngchá	noun — a police officer; the police	TOCFL 3
警惕	jǐngtì	verb — to be on guard, to stay alert to danger	TOCFL 5
警衛	jǐngwèi	noun — a guard; verb — to guard	TOCFL 5
警覺	jǐngjué	noun — alertness, vigilance; adjective — alert	TOCFL 5
譬如	pìrú	conj — for instance; for example	TOCFL 5
譬如說	pìrúshuō	conj — for example (spoken); let's say	TOCFL 5
議事	yìshì	verb — to discuss matters of business; to deliberate	TOCFL 7
議員	yìyuán	noun — a legislator, a council member	TOCFL 5
議定	yìdìng	verb — to agree on, to settle by discussion	TOCFL 5
議會	yìhuì	noun — parliament; legislative council	TOCFL 6
議案	yìàn	noun — a motion, a bill (proposal put to a vote or meeting)	TOCFL 4
議論	yìlùn	verb — to discuss, to comment on; noun — discussion, talk	TOCFL 5
議題	yìtí	noun — issue, topic for discussion	TOCFL 5
護士	hùshì	noun — nurse	TOCFL 1
護照	hùzhào	noun — a passport	TOCFL 3
讀書	dúshū	verb — to read; to study; to attend school	TOCFL 3
讀物	dúwù	noun — reading material	TOCFL 5
讀者	dúzhě	noun — a reader, someone who reads	TOCFL 4
變動	biàndòng	verb — to change, alter; noun — change, alteration, fluctuation	TOCFL 4
變化	biànhuà	noun/verb — change; transformation; to change	TOCFL 3
變形	biànxíng	verb — to deform, to change shape; noun — deformation	TOCFL 5
變得	biànde	verb — to become; to turn (a certain way)	TOCFL 2
變成	biànchéng	verb — to become; to turn into; to change into	TOCFL 3
變更	biàngēng	verb — to change, alter, amend (a plan, schedule, terms); noun — a change	TOCFL 3
變通	biàntōng	verb — to adapt, to be flexible; noun — flexibility	TOCFL 5
變遷	biànqiān	noun — changes, vicissitudes (over time)	TOCFL 5
變革	biàngé	noun/verb — transformation, reform	TOCFL 6
讓步	ràngbù	verb — to make concessions, give ground, back down	TOCFL 4
讚嘆	zàntàn	verb — to praise, to exclaim in admiration; noun — admiration	TOCFL 5
讚歎	zàntàn	verb — to praise, to exclaim in admiration; noun — admiration	TOCFL 5
讚美	zànměi	verb — to praise, extol, sing the praises of	TOCFL 4
豁達	huòdá	adjective — open-minded, broad-minded, taking things in stride	TOCFL 5
豆漿	dòujiāng	noun — soy milk; soybean milk	TOCFL 2
豆腐	dòufu	noun — tofu, bean curd	TOCFL 2
豐富	fēngfù	adjective/verb — rich; abundant; plentiful; to enrich	TOCFL 4
豐收	fēngshōu	noun — a bumper harvest; verb — to reap an abundant harvest	TOCFL 5
豐盛	fēngshèng	adjective — sumptuous, lavish (of food, a spread)	TOCFL 5
象徵	xiàngzhēng	verb — to symbolize, to stand for; noun — a symbol	TOCFL 6
貝殼	bèiké	noun — seashell	TOCFL 5
負擔	fùdān	noun — burden; load; verb — to bear, to shoulder (a cost, a responsibility)	TOCFL 5
負責	fùzé	verb/adjective — to be responsible; to be in charge; responsible, diligent	TOCFL 3
負責人	fùzérén	noun — the person in charge	TOCFL 5
負責制	fùzézhì	noun — an accountability system, where one person carries final responsibility	TOCFL 5
負面	fùmiàn	adjective — negative (side, effect, impression)	TOCFL 5
財務	cáiwù	noun — finance, financial affairs	TOCFL 5
財團	cáituán	noun — a financial group, a conglomerate, a consortium	TOCFL 5
財富	cáifù	noun — wealth; riches	TOCFL 5
財政	cáizhèng	noun — public finance; fiscal affairs	TOCFL 6
財物	cáiwù	noun — property, belongings, money and goods	TOCFL 6
財產	cáichǎn	noun — property; assets; wealth	TOCFL 5
貢獻	gòngxiàn	verb — to contribute; to dedicate; noun — a contribution	TOCFL 5
貧困	pínkùn	adjective — poor, impoverished; noun — poverty	TOCFL 6
貧民	pínmín	noun — the poor, impoverished people	TOCFL 5
貧窮	pínqióng	adjective — poor, impoverished, destitute	TOCFL 4
貧苦	pínkǔ	adjective — poverty-stricken, living in hardship	TOCFL 5
貨品	huòpǐn	noun — goods, merchandise	TOCFL 5
貨幣	huòbì	noun — currency; money; medium of exchange	TOCFL 5
貨物	huòwù	noun — goods, merchandise, cargo	TOCFL 4
販毒	fàndú	verb — to traffic in drugs; noun — drug trafficking	TOCFL 5
販賣	fànmài	verb — to sell, to peddle, to vend	TOCFL 5
貪心	tānxīn	adjective — greedy; noun — greed	TOCFL 5
貫徹	guànchè	verb — to carry through; to implement thoroughly (a policy, a principle)	TOCFL 6
責任	zérèn	noun — responsibility; duty	TOCFL 4
責備	zébèi	verb — to blame, to reproach, to scold	TOCFL 5
貴姓	guìxìng	noun — your (honourable) surname; the polite way to ask someone's family name	TOCFL 3
貴族	guìzú	noun — nobility, aristocrat, the noble class	TOCFL 5
貴賓	guìbīn	noun — an honoured guest, a VIP	TOCFL 5
貶值	biǎnzhí	verb — to depreciate, to devalue (currency, an asset)	TOCFL 5
買主	mǎizhǔ	noun — a buyer, a purchaser	TOCFL 5
買單	mǎidān	verb — to pay the bill, settle the check; to foot the bill (figurative)	TOCFL 4
買賣	mǎimài	noun — business, trade, a deal; verb — to buy and sell	TOCFL 4
貸款	dàikuǎn	noun — a loan; verb — to lend; to take out a loan	TOCFL 5
費力	fèilì	adjective — strenuous, requiring great effort; verb — to expend effort	TOCFL 5
費用	fèiyòng	noun — expense; cost; fee	TOCFL 4
貼心	tiēxīn	adjective — thoughtful, considerate, attentive (to someone's needs)	TOCFL 4
貿易	màoyì	noun — trade, commerce; verb — to trade	TOCFL 4
賄賂	huìlù	verb — to bribe; noun — a bribe, bribery	TOCFL 5
資助	zīzhù	verb — to fund, to subsidize; noun — financial aid	TOCFL 5
資料	zīliào	noun — data; materials; reference documents	TOCFL 3
資本	zīběn	noun — capital; financial resources; backing	TOCFL 5
資本家	zīběnjiā	noun — capitalist, an owner of capital	TOCFL 4
資格	zīgé	noun — qualification; eligibility	TOCFL 5
資深	zīshēn	adjective — senior, veteran (in a field)	TOCFL 5
資源	zīyuán	noun — resources; natural or economic assets	TOCFL 4
資產	zīchǎn	noun — assets; property	TOCFL 5
資訊	zīxùn	noun — information; data; news (Taiwan standard term; mainland equivalent: 信息)	TOCFL 4
資金	zījīn	noun — funds; capital; financial resources	TOCFL 4
賓館	bīnguǎn	noun — guesthouse, hotel	TOCFL 5
賠償	péicháng	verb — to compensate, pay damages, make good (a loss)	TOCFL 4
賣座	màizuò	adjective — drawing a big audience, popular, box-office; noun — box-office draw	TOCFL 4
賦予	fùyǔ	verb — to bestow, endow, confer (a quality, right, or meaning)	TOCFL 6
質疑	zhìyí	verb — to question, to challenge (a claim)	TOCFL 5
質量	zhìliàng	noun — quality (of goods or work); mass (physics)	TOCFL 5
賭博	dǔbó	verb — to gamble; noun — gambling	TOCFL 5
賭場	dǔchǎng	noun — casino, gambling den	TOCFL 5
購買	gòumǎi	verb — to purchase, to buy	TOCFL 4
賽跑	sàipǎo	noun — a race, foot race; verb — to race, run a race	TOCFL 4
贈品	zèngpǐn	noun — free gift, giveaway, complimentary item	TOCFL 4
贈送	zèngsòng	verb — to give as a gift, present (gratis)	TOCFL 4
贊助	zànzhù	verb — to sponsor, to back; noun — sponsorship	TOCFL 5
贊同	zàntóng	verb — to approve of, endorse, agree with	TOCFL 4
贊成	zànchéng	verb — to be in favor of, agree to, approve	TOCFL 4
贏得	yíngdé	verb — to win, gain, earn (a prize, respect, support)	TOCFL 4
贓物	zāngwù	noun — stolen goods, loot, booty	TOCFL 5
走上	zǒushàng	verb — to walk onto; to step onto (a road or path), to embark on	TOCFL 1
走出	zǒuchū	verb — to walk out of; to step out	TOCFL 1
走向	zǒuxiàng	verb — to head toward; noun — the direction (a trend) runs	TOCFL 2
走廊	zǒuláng	noun — corridor, hallway, passage	TOCFL 5
走私	zǒusī	verb — to smuggle; to traffic goods across a border illegally	TOCFL 4
走走	zǒuzou	verb — to take a stroll, walk around a bit, go out for a wander	TOCFL 3
走路	zǒulù	verb — to walk, go on foot	TOCFL 1
走進	zǒujìn	verb — to walk into; to step inside	TOCFL 1
走道	zǒudào	noun — aisle, walkway, passage (between seats or shelves)	TOCFL 4
起伏	qǐfú	verb — to rise and fall; noun — ups and downs, undulation	TOCFL 5
起來	qǐlái	verb — to get up, to rise; directional complement indicating upward motion toward speaker	TOCFL 1
起初	qǐchū	adverb / noun — at first, in the beginning, originally	TOCFL 4
